case,gamma,lam,kl_beta,score,t,kl_tok,reward,value,adv,ret
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,0,-0.036432387043928434,0.0018216193521964218,-0.47655125276991672,2.3253884643428298,1.848837211572913
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,1,0.28737215363101903,-0.014368607681550953,1.2676318233161368,0.60987765147850492,1.8775094747946417
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,2,-0.097825904593060106,0.0048912952296530053,0.5085828539947137,1.45610024050682,1.9646830945015337
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,3,-0.0076379164782320423,0.00038189582391160213,1.6646263151616494,0.31070050958971718,1.9753268247513667
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,4,0.17552123512973308,-0.0087760617564866545,1.4099770604788153,0.59470301941962056,2.0046800798984359
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,5,-0.26314637603129853,0.013157318801564927,1.3656365876066778,0.68191532005078404,2.047551907657462
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,6,-0.11367116743264043,0.005683558371632022,1.8772603169523419,0.16540449674058422,2.0426648136929262
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,7,-0.17501277890791669,0.0087506389453958344,1.9424328410473852,0.099524646604114642,2.0419574876514996
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,8,-0.025912876405723016,0.0012956438202861508,0.33416732322856557,1.788462658397409,2.1226299816259746
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,9,-0.24668137721433678,0.01233406886071684,-1.7789017885366509,4.1055117119393048,2.3266099234026538
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,10,-0.26630157352821038,0.013315078676410519,0.3353882149626064,2.0830396206098216,2.418427835572428
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,11,0.12407792133319644,-0.0062038960666598222,0.7814981328570334,1.7090680253041937,2.4905661581612271
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,12,-0.10634049194414297,0.0053170245972071484,-0.94436745296902158,3.6222500075756932,2.6778825546066716
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,13,0.01530515302017894,-0.00076525765100894704,1.2007426301261321,1.5492872630350867,2.7500298931612188
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,14,-0.093896344448377106,0.0046948172224188555,0.83498282176170857,2.0166445568952835,2.8516273786569921
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,15,0.095186534690342287,-0.004759326734517115,0.3073607274657757,2.6732335094408399,2.9805942369066156
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,16,0.075155362214492011,-0.0037577681107246008,-1.3628463500021164,4.577052540677105,3.2142061906749886
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,17,0.12257491714090653,-0.0061287458570453267,-1.2651780873344141,4.7190968906527653,3.4539188033183512
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,18,0.12375970304603606,-0.0061879851523018031,0.87537004346380254,2.7207131639069413,3.5960832073707438
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,19,-0.095787851062671292,0.0047893925531335649,0.85503979400161123,2.8918225247594047,3.7468623187610159
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,20,-0.23362171233501683,0.011681085616750842,0.59583591536499592,3.3118284324661964,3.9076643478311923
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,21,-0.16171102012181146,0.0080855510060905741,1.4065242872064414,2.6204831315873687,4.0270074187938096
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,22,-0.0060274018163755548,0.00030137009081877776,-0.28928644776224832,4.534956121631545,4.2456696738692967
0,1,0.94999999999999996,0.050000000000000003,4.5243290403968057,23,0.19662933315316625,4.5144975737391473,-0.86808782547425833,5.3825853992134061,4.5144975737391473
1,1,1,0.20000000000000001,-0.96766865325250362,0,-0.18882475134764884,0.037764950269529772,0.89138078679401422,-1.8523355000249686,-0.96095471323095438
1,1,1,0.20000000000000001,-0.96766865325250362,1,-0.021634631624270595,0.0043269263248541193,-0.47471601832241461,-0.52400364517806963,-0.99871966350048424
1,1,1,0.20000000000000001,-0.96766865325250362,2,0.032291627793444876,-0.0064583255586889753,1.7704963010025181,-2.7735428908278568,-1.0030465898253387
1,1,1,0.20000000000000001,-0.96766865325250362,3,-0.10710347433612952,0.021420694867225906,1.9280361461770887,-2.9246244104437382,-0.99658826426664948
1,1,1,0.20000000000000001,-0.96766865325250362,4,0.081949464863153798,-0.01638989297263076,-0.28522630061984211,-0.73278265851403335,-1.0180089591338755
1,1,1,0.20000000000000001,-0.96766865325250362,5,0.02929169746302944,-0.0058583394926058881,1.0882258994140002,-2.0898449655752449,-1.0016190661612447
1,1,1,0.20000000000000001,-0.96766865325250362,6,0.17954828550358229,-0.035909657100716461,-0.49593999333084859,-0.49982073333778998,-0.99576072666863857
1,1,1,0.20000000000000001,-0.96766865325250362,7,-0.23890156686384559,0.047780313372769119,1.2971645290650837,-2.2570155986330058,-0.9598510695679221
1,1,1,0.20000000000000001,-0.96766865325250362,8,-0.20910432191270253,0.041820864382540512,-0.80508259115386949,-0.20254879178682161,-1.0076313829406911
1,1,1,0.20000000000000001,-0.96766865325250362,9,-0.15763760867545898,0.031527521735091796,1.1801352520267487,-2.2295874993499805,-1.0494522473232317
1,1,1,0.20000000000000001,-0.96766865325250362,10,0.20781626180889437,-0.04156325236177888,1.7330986642098587,-2.8140784332681825,-1.0809797690583238
1,1,1,0.20000000000000001,-0.96766865325250362,11,0.0024939504330623971,-0.00049879008661247949,0.86207529839649499,-1.9014918150930398,-1.0394165166965448
1,1,1,0.20000000000000001,-0.96766865325250362,12,0.090238148956909306,-0.018047629791381862,-1.366191676178433,0.32727394956850064,-1.0389177266099323
