case,i,lp,old_lp,adv,v,old_v,ret
0,0,-2.191714146286361,-2.1433441295996851,-0.31274623065028373,-0.45671500047229918,0.024050064224833356,-1.6495805810247073
0,1,-1.5794927294259811,-1.5615933180300952,-0.60438774090644665,-1.6591757336932957,-1.1781593476114316,1.6114078972657735
0,2,-2.3191319569283841,-2.3390440225738272,-0.022152557549079965,1.1956959408341752,0.79314603097802294,-0.24988817035913335
0,3,-2.2355392324468211,-2.2316019555903206,-0.83800469756928497,-0.61604574274656287,-0.3132979565050622,-1.6482109623650287
0,4,-1.6662268397478059,-1.6238669743260084,-0.36868531313963437,1.8577500352545302,1.5443430111142211,-0.1770651544260069
0,5,-2.0385258842226825,-2.0792613632137709,-0.93819605739904444,0.52823179760865546,0.64554070670297614,-1.5926650708554946
0,6,-1.6185096492320261,-1.5727416154254854,0.67679528256019084,-1.2610336708559204,-0.87165265407293013,1.8121823903729899
0,7,-1.9997764325681926,-1.9705730595857522,-0.1092659495335806,-1.4150610995861079,-0.96483274860196611,0.12694892065410635
0,8,-2.2431315634308095,-2.2041532046073722,-0.69601969287870236,1.8096552728148296,1.3562317392121299,-0.14412781766173444
0,9,-2.3664589895558201,-2.4099603794681963,-0.043509553992381322,0.74846432534047469,0.7814861766311294,0.90620534783928663
0,10,-1.8902971386227216,-1.9289308854176284,0.9596866572753342,-0.80754396127067918,-0.67451848058695907,1.6459124520066095
0,11,-1.5508996044615639,-1.5995552343328183,-0.93033896097936641,1.1203003478943523,1.165111126490602,-0.36260994191762119
0,12,-2.4321598886581017,-2.4712668738608805,0.61202166466192498,1.4054856269733471,1.6883624777902622,-1.6818033589706678
0,13,-1.8297155592558729,-1.8078771322144767,0.60670283402338931,0.21228506240536071,0.070477856028291264,1.4374008789361876
0,14,-2.067314586758553,-2.0756525606075678,0.65901580509064028,-1.8731563347165063,-1.8083447255158638,-1.9672520676274674
0,15,-2.2130115137267352,-2.2254457517138126,0.97192706193062528,-0.7205651661670045,-1.1162309277880524,1.0592909377400099
0,16,-2.4159510940441002,-2.4412774180005585,0.015681908920528675,-0.55710823804272236,-0.85170216383799469,0.47390750929201086
